"","name","position","points","available"
"134","Austin Davis","QB",131.64,"available"
"135","Markus Wheaton","WR/TE",131.3,"available"
"136","Martavis Bryant","WR/TE",130.1,"available"
"137","Percy Harvin","WR/TE",129.5,"available"
"138","Riley Cooper","WR/TE",128.7,"available"
"139","Roy Helu","RB",127.3,"available"
"140","Carson Palmer","QB",125.54,"available"
"141","Benny Cunningham","RB",124.8,"available"
"142","Owen Daniels","WR/TE",124.7,"available"
"143","Pierre Thomas","RB",123,"available"
"144","Isaiah Crowell","RB",122.4,"available"
"145","Darren McFadden","RB",120.6,"available"
"146","Harry Douglas","WR/TE",120.6,"available"
"147","Cecil Shorts","WR/TE",119.98,"available"
"148","Jarius Wright","WR/TE",119.9,"available"
"149","Trent Richardson","RB",117.8,"available"
"150","Allen Robinson","WR/TE",116.8,"available"
"151","Nate Washington","WR/TE",116.7,"available"
"152","Dwayne Allen","WR/TE",116.5,"available"
"153","Miles Austin","WR/TE",115.8,"available"
"154","Chris Johnson","RB",115.4,"available"
"155","Knile Davis","RB",115,"available"
"156","Scott Chandler","WR/TE",114.7,"available"
"157","Jerricho Cotchery","WR/TE",114,"available"
"158","Denard Robinson","RB",113.6,"available"
"159","Terrance West","RB",112.7,"available"
"160","Bobby Rainey","RB",111.1,"available"
"161","Mike Glennon","QB",109.58,"available"
"162","Drew Stanton","QB",108.74,"available"
"163","Kirk Cousins","QB",108.4,"available"
"164","Devin Hester","WR/TE",108,"available"
"165","Wes Welker","WR/TE",107.4,"available"
"166","Taylor Gabriel","WR/TE",107.1,"available"
"167","Reggie Bush","RB",107,"available"
"168","Shaun Hill","QB",106.28,"available"
"169","Chris Hogan","WR/TE",103.6,"available"
"170","Hakeem Nicks","WR/TE",102.5,"available"
"171","Ronnie Hillman","RB",102.3,"available"
"172","Charlie Whitehurst","QB",101.04,"available"
"173","Davante Adams","WR/TE",100.6,"available"
"174","Jermaine Kearse","WR/TE",99.88,"available"
"175","Cole Beasley","WR/TE",99,"available"
"176","Brian Hartline","WR/TE",98.4,"available"
"177","LeGarrette Blount","RB",98.1,"available"
"178","Alfred Blue","RB",97.1,"available"
"179","Steve Johnson","WR/TE",96.5,"available"
"180","Bishop Sankey","RB",96.2,"available"
"181","Donte Moncrief","WR/TE",96.1,"available"
"182","Justin Hunter","WR/TE",95.8,"available"
"183","Robert Griffin III","QB",95.36,"available"
"184","Theo Riddick","RB",94.7,"available"
"185","Jordan Reed","WR/TE",94.5,"available"
"186","Jerick McKinnon","RB",94.3,"available"
"187","Niles Paul","WR/TE",93.7,"available"
"188","Jeremy Kerley","WR/TE",93.5,"available"
"189","Cordarrelle Patterson","WR/TE",93.1,"available"
"190","Charles Johnson","WR/TE",91.4,"available"
"191","Andre Roberts","WR/TE",91.4,"available"
"192","Tavon Austin","WR/TE",90.6,"available"
"193","Preston Parker","WR/TE",87.8,"available"
"194","Tim Wright","WR/TE",87.7,"available"
"195","Devonta Freeman","RB",87.3,"available"
"196","Zach Mettenberger","QB",86.88,"available"
"197","Marqise Lee","WR/TE",86.1,"available"
"198","Latavius Murray","RB",85.7,"available"
"199","Jace Amaro","WR/TE",84.5,"available"
"200","Lance Kendricks","WR/TE",82.9,"available"
"201","Toby Gerhart","RB",81.2,"available"
"202","Louis Murphy","WR/TE",81,"available"
"203","Doug Martin","RB",80.8,"available"
"204","Stedman Bailey","WR/TE",80.8,"available"
"205","Brian Quick","WR/TE",80.5,"available"
"206","Jacquizz Rodgers","RB",80,"available"
"207","Andrew Quarless","WR/TE",79.3,"available"
"208","Jordan Cameron","WR/TE",78.4,"available"
"209","Antone Smith","RB",77.6,"available"
"210","James Starks","RB",77.3,"available"
"211","Luke Willson","WR/TE",76.2,"available"
"212","Ben Tate","RB",76.1,"available"
"213","Marcel Reece","RB",76,"available"
"214","John Carlson","WR/TE",76,"available"
"215","Robert Turbin","RB",75.6,"available"
"216","Dan Herron","RB",75.4,"available"
"217","Jordan Todman","RB",75.4,"available"
"218","Jason Avant","WR/TE",75.4,"available"
"219","Carlos Hyde","RB",74.1,"available"
"220","Jake Locker","QB",73.92,"available"
"221","Jonas Gray","RB",72.9,"available"
"222","Travaris Cadet","RB",72.8,"available"
"223","Donald Brown","RB",72.4,"available"
"224","Damaris Johnson","WR/TE",72,"available"
"225","Anthony Fasano","WR/TE",71.6,"available"
