name,team,position,points,bye_week,available
Shonn Greene,TEN,RB,51.5,4,TRUE
Stevan Ridley,NYJ,RB,52,5,TRUE
Juwan Thompson,DEN,RB,51.7,7,TRUE
Bernard Pierce,JAC,RB,49.9,8,TRUE
Zac Stacy,NYJ,RB,64.5,5,TRUE
C.J. Spiller,NO,RB,65.5,11,TRUE
Donald Brown,SD,RB,72.4,10,TRUE
Chris Polk,PHI,RB,44.8,8,TRUE
Charles Sims,TB,RB,60.5,6,TRUE
Darrel Young,WAS,RB,51.3,8,TRUE
Marcel Reece,OAK,RB,76,6,TRUE
Daniel Thomas,MIA,RB,53.9,5,TRUE
Damien Williams,MIA,RB,57.9,5,TRUE
Travaris Cadet,NE,RB,72.8,4,TRUE
De'Anthony Thomas,KC,RB,54.9,9,TRUE
Fozzy Whittaker,CAR,RB,37.5,5,TRUE
Lance Dunbar,DAL,RB,49.6,6,TRUE
Leon Washington,TEN,RB,53.6,4,TRUE
Bruce Miller,SF,RB,47.8,10,TRUE
Bilal Powell,NYJ,RB,40.3,5,TRUE
Bryce Brown,BUF,RB,44.2,8,TRUE
Montee Ball,DEN,RB,36.4,7,TRUE
Kerwynn Williams,ARI,RB,27.7,9,TRUE
DeAngelo Williams,PIT,RB,29.3,11,TRUE
Silas Redd,WAS,RB,32.2,8,TRUE
Jonathan Grimes,HOU,RB,29.9,9,TRUE
Knowshon Moreno,MIA,RB,22.6,5,TRUE
Ka'Deem Carey,CHI,RB,26.5,7,TRUE
Peyton Hillis,NYG,RB,30.2,11,TRUE
Storm Johnson,JAC,RB,21.2,8,TRUE
Kyle Juszczyk,BAL,RB,39.2,9,TRUE
Joe McKnight,KC,RB,24.7,9,TRUE
Christine Michael,SEA,RB,19.7,9,TRUE
Adrian Peterson,MIN,RB,11.3,5,TRUE
Danny Woodhead,SD,RB,12.2,10,TRUE
Melvin Gordon,SD,RB,0,10,TRUE
Todd Gurley,STL,RB,0,6,TRUE
Tevin Coleman,ATL,RB,0,10,TRUE
Ameer Abdullah,DET,RB,0,9,TRUE
Ryan Williams,DAL,RB,0,6,TRUE
David Cobb,TEN,RB,0,4,TRUE
Jay Ajayi,MIA,RB,0,5,TRUE
David Johnson,ARI,RB,0,9,TRUE
James White,NE,RB,11.1,4,TRUE
Cameron Artis-Payne,CAR,RB,0,5,TRUE
Duke Johnson,CLE,RB,0,11,TRUE
Matt Jones,WAS,RB,0,8,TRUE
Tyler Gaffney,NE,RB,0,4,TRUE
Brandon Bolden,NE,RB,17.7,4,TRUE
Mike Davis,SF,RB,0,10,TRUE
Buck Allen,BAL,RB,0,9,TRUE
Josh Robinson,IND,RB,0,10,TRUE
Kendall Hunter,SF,RB,0,10,TRUE
T.J. Yeldon,JAC,RB,0,8,TRUE
Jeremy Langford,CHI,RB,0,7,TRUE
Antonio Brown,PIT,WR/TE,382.9,11,TRUE
Jordy Nelson,GB,WR/TE,327.9,7,TRUE
Dez Bryant,DAL,WR/TE,316,6,TRUE
Demaryius Thomas,DEN,WR/TE,340.9,7,TRUE
Odell Beckham Jr.,NYG,WR/TE,295,11,TRUE
Randall Cobb,GB,WR/TE,293.4,7,TRUE
Emmanuel Sanders,DEN,WR/TE,301.8,7,TRUE
Julio Jones,ATL,WR/TE,297.4,10,TRUE
Jeremy Maclin,KC,WR/TE,277.8,9,TRUE
Mike Evans,TB,WR/TE,245.1,6,TRUE
Alshon Jeffery,CHI,WR/TE,261.6,7,TRUE
T.Y. Hilton,IND,WR/TE,258.5,10,TRUE
Golden Tate,DET,WR/TE,259.1,9,TRUE
Calvin Johnson,DET,WR/TE,226.7,9,TRUE
DeAndre Hopkins,HOU,WR/TE,231,9,TRUE
DeSean Jackson,WAS,WR/TE,209.6,8,TRUE
Kelvin Benjamin,CAR,WR/TE,225.8,5,TRUE
Mike Wallace,MIN,WR/TE,212.8,5,TRUE
Torrey Smith,SF,WR/TE,191.7,10,TRUE
Steve Smith,BAL,WR/TE,219.5,9,TRUE
Anquan Boldin,SF,WR/TE,219.6,10,TRUE
Brandon LaFell,NE,WR/TE,210.6,4,TRUE
A.J. Green,CIN,WR/TE,205.3,7,TRUE
Jordan Matthews,PHI,WR/TE,202.2,8,TRUE
Sammy Watkins,BUF,WR/TE,198,8,TRUE
Roddy White,ATL,WR/TE,212.1,10,TRUE
Julian Edelman,NE,WR/TE,222.6,4,TRUE
Eric Decker,NYJ,WR/TE,200.2,5,TRUE
Malcom Floyd,SD,WR/TE,173.6,10,TRUE
Eddie Royal,SD,WR/TE,181.2,10,TRUE
Marques Colston,NO,WR/TE,177.2,11,TRUE
Michael Floyd,ARI,WR/TE,165.3,9,TRUE
Brandon Marshall,NYJ,WR/TE,179.1,5,TRUE
Mohamed Sanu,CIN,WR/TE,182.26,7,TRUE
Rueben Randle,NYG,WR/TE,182.8,11,TRUE
Kenny Stills,MIA,WR/TE,173.9,5,TRUE
Kendall Wright,TEN,WR/TE,167.9,4,TRUE
Vincent Jackson,TB,WR/TE,180.2,6,TRUE
Greg Jennings,MIA,WR/TE,169.2,5,TRUE
Terrance Williams,DAL,WR/TE,147.1,6,TRUE
Andre Johnson,IND,WR/TE,190.6,10,TRUE
Martavis Bryant,PIT,WR/TE,130.1,11,TRUE
Allen Hurns,JAC,WR/TE,154.7,8,TRUE
Doug Baldwin,SEA,WR/TE,167.3,9,TRUE
James Jones,OAK,WR/TE,173.6,6,TRUE
John Brown,ARI,WR/TE,147,9,TRUE
Keenan Allen,SD,WR/TE,175.3,10,TRUE
Robert Woods,BUF,WR/TE,164.9,8,TRUE
Jarvis Landry,MIA,WR/TE,181.4,5,TRUE
Andrew Hawkins,CLE,WR/TE,158.9,11,TRUE
Kenny Britt,STL,WR/TE,142.2,6,TRUE
Michael Crabtree,OAK,WR/TE,162.2,6,TRUE
Andre Holmes,OAK,WR/TE,140.3,6,TRUE
Pierre Garcon,WAS,WR/TE,161.2,8,TRUE
Larry Fitzgerald,ARI,WR/TE,151.4,9,TRUE
Reggie Wayne,IND,WR/TE,151.9,10,TRUE
Brandin Cooks,NO,WR/TE,139.3,11,TRUE
Percy Harvin,BUF,WR/TE,129.5,8,TRUE
Markus Wheaton,PIT,WR/TE,131.3,11,TRUE
Jarius Wright,MIN,WR/TE,119.9,5,TRUE
Nate Washington,TEN,WR/TE,116.7,4,TRUE
Dwayne Bowe,CLE,WR/TE,135.4,11,TRUE
Riley Cooper,PHI,WR/TE,128.7,8,TRUE
Devin Hester,ATL,WR/TE,108,10,TRUE
Taylor Gabriel,CLE,WR/TE,107.1,11,TRUE
Miles Austin,CLE,WR/TE,115.8,11,TRUE
Justin Hunter,TEN,WR/TE,95.8,4,TRUE
Harry Douglas,ATL,WR/TE,120.6,10,TRUE
Allen Robinson,JAC,WR/TE,116.8,8,TRUE
Hakeem Nicks,IND,WR/TE,102.5,10,TRUE
Donte Moncrief,IND,WR/TE,96.1,10,TRUE
Jerricho Cotchery,CAR,WR/TE,114,5,TRUE
Davante Adams,GB,WR/TE,100.6,7,TRUE
Chris Hogan,BUF,WR/TE,103.6,8,TRUE
Cole Beasley,DAL,WR/TE,99,6,TRUE
Steve Johnson,SD,WR/TE,96.5,10,TRUE
Jermaine Kearse,SEA,WR/TE,99.88,9,TRUE
Cordarrelle Patterson,MIN,WR/TE,93.1,5,TRUE
Cecil Shorts,HOU,WR/TE,119.98,9,TRUE
Brian Hartline,CLE,WR/TE,98.4,11,TRUE
Charles Johnson,MIN,WR/TE,91.4,5,TRUE
Wes Welker,DEN,WR/TE,107.4,7,TRUE
Tavon Austin,STL,WR/TE,90.6,6,TRUE
Jeremy Kerley,NYJ,WR/TE,93.5,5,TRUE
Brian Quick,STL,WR/TE,80.5,6,TRUE
Andre Roberts,WAS,WR/TE,91.4,8,TRUE
Preston Parker,NYG,WR/TE,87.8,11,TRUE
Stedman Bailey,STL,WR/TE,80.8,6,TRUE
Travis Benjamin,CLE,WR/TE,68.5,11,TRUE
Louis Murphy,TB,WR/TE,81,6,TRUE
Philly Brown,CAR,WR/TE,70.1,5,TRUE
Marqise Lee,JAC,WR/TE,86.1,8,TRUE
Kamar Aiken,BAL,WR/TE,68.7,9,TRUE
Jason Avant,CAR,WR/TE,75.4,5,TRUE
Damaris Johnson,HOU,WR/TE,72,9,TRUE
Brice Butler,OAK,WR/TE,61,6,TRUE
Victor Cruz,NYG,WR/TE,62.7,11,TRUE
Dexter McCluster,TEN,WR/TE,62.8,4,TRUE
Brandon Gibson,MIA,WR/TE,64.5,5,TRUE
Brandon Lloyd,SF,WR/TE,49.4,10,TRUE
Amari Cooper,OAK,WR/TE,0,6,TRUE
Kevin White,CHI,WR/TE,0,7,TRUE
Nelson Agholor,PHI,WR/TE,0,8,TRUE
Breshad Perriman,BAL,WR/TE,0,9,TRUE
DeVante Parker,MIA,WR/TE,0,5,TRUE
Cody Latimer,DEN,WR/TE,4.3,7,TRUE
Dorial Green-Beckham,TEN,WR/TE,0,4,TRUE
Marvin Jones,CIN,WR/TE,0,7,TRUE
Jaelen Strong,HOU,WR/TE,0,9,TRUE
Tyler Lockett,SEA,WR/TE,0,9,TRUE
Devin Funchess,CAR,WR/TE,0,5,TRUE
Nick Toon,NO,WR/TE,42.9,11,TRUE
Devin Smith,NYJ,WR/TE,0,5,TRUE
Phillip Dorsett,IND,WR/TE,0,10,TRUE
Sammie Coates,PIT,WR/TE,0,11,TRUE
Justin Blackmon,JAC,WR/TE,0,8,TRUE
Brandon Coleman,NO,WR/TE,0,11,TRUE
Rod Streater,OAK,WR/TE,23.4,6,TRUE
Kenny Bell,TB,WR/TE,0,6,TRUE
Albert Wilson,KC,WR/TE,42,9,TRUE
Josh Huff,PHI,WR/TE,15.8,8,TRUE
Marlon Brown,BAL,WR/TE,49.5,9,TRUE
Justin Hardy,ATL,WR/TE,0,10,TRUE
Chris Conley,KC,WR/TE,0,9,TRUE
Danny Amendola,NE,WR/TE,53,4,TRUE
Rob Gronkowski,NE,WR/TE,266.4,4,TRUE
Antonio Gates,SD,WR/TE,223.1,10,TRUE
Jimmy Graham,NO,WR/TE,229.9,11,TRUE
Greg Olsen,CAR,WR/TE,220.8,5,TRUE
Martellus Bennett,CHI,WR/TE,221.6,7,TRUE
Coby Fleener,IND,WR/TE,176.4,10,TRUE
Julius Thomas,JAC,WR/TE,163.9,8,TRUE
Delanie Walker,TEN,WR/TE,176,4,TRUE
Travis Kelce,KC,WR/TE,183.2,9,TRUE
Jason Witten,DAL,WR/TE,164.3,6,TRUE
